Raison sociale,Année de reporting,p3_1,p3_2,p3_3,p3_4,p3_5,p4_1,p4_2,p4_3,p4_4,p4_5,p5_1,p5_2,p5_3,p5_4,total_indirect_emissions
ANTEA FRANCE,2023,11.5,0.0,552.9,0.0,119.6,1283.3,1331.4,63.7,1315.5,8162.9,0.0,0.0,0.0,0.0,12840.8
ANTEA FRANCE,2019,0.0,24.0,743.0,0.0,280.0,7652.0,1045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9744.0
ARTELIA,2022,0.0,0.0,5925.0,0.0,4968.0,1966.0,5047.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,17944.0
BUREAU VERITAS EXPLOITATION,2023,0.0,0.0,1253.0,0.0,0.0,4912.0,395.0,62.0,0.0,16446.0,0.0,0.0,0.0,0.0,23068.0
BUREAU VERITAS EXPLOITATION,2019,0.0,0.0,0.0,0.0,1455.0,2.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1519.0
ECOCERT SA,2024,90.4,0.0,460.5,10.4,551.6,362.0,329.8,0.8,396.4,981.7,0.0,0.0,0.0,0.0,3183.6000000000004
Eco CO2,2023,0.15,0.0,15.46,0.0,61.85,1353.04,78.63,0.23,0.0,3.48,0.45,0.0,0.63,0.0,1513.9200000000003
