Raison sociale,Libellé,Année de reporting,staff_count,visible_indirect_emissions,report_quality_score,Présentation de l'organisation
ANTEA FRANCE,"Ingénierie, études techniques",2023,Entre 1 000 et 1 999,3179.1,6,"Nos équipes composées de 1 000 collaborateurs et réparties dans 25 implantations en métropole et 5 en Départements d’Outre-Mer, interviennent au cœur des territoires et aux côtés des acteurs locaux en France métropolitaine, dans les DOM et à l’international.Nous sommes présents auprès d’une clientèle très diversifiée, constituée de grands groupes industriels, de PME dynamiques, de collectivités locales ou de gouvernements. A tous, nous avons à cœur de répondre avec le même engagement et la même volonté d’apporter des solutions opérationnelles. Notre ingénierie répond à des problématiques très contemporaines et complexes qui nécessitent la mobilisation de savoirs techniques pointus et la combinaison d’expertises diversifiées.Acteur majeur de l’ingénierie environnementale depuis plus de 70 ans et ayant bénéficié de plusieurs acquisitions, Antea France accompagne collectivités et industriels dans les secteurs de l’environnement, de l&#039;eau, des infrastructures et de la gestion des données environnementales, à travers 5 marques principales :Antea Group pour l’ensemble de nos activités,IRH Ingénieur Conseil, filiale d’Antea France depuis 2015, spécialisée dans la gestion et le traitement de l’eau,TLG Pro, filiale d&#039;Antea France depuis 2022, spécialisée en informatique industrielle,ICF, marque commerciale dédiée à l’ingénierie environnementale en Ile-de-France et aux activités de due diligence,Géo-Hyd, marque commerciale regroupant tout notre savoir-faire en gestion de la donnée environnementale."
ARTELIA,"Ingénierie, études techniques",2022,Entre 5 000 et 9 999,12938.0,8,"Artelia, une ingénierie indépendante &amp; multidisciplinaireUn accompagnement sur l’ensemble du cycle de vie de votre projetAssociant de fortes compétences en ingénierie de la mobilité, de l’eau, de l’énergie, du bâtiment et de l’industrie, Artelia offre une gamme complète de services, de l’expertise à la livraison de projets complexes : consulting, études et schémas directeurs, management de projet, maîtrise d’œuvre de conception et d’exécution, gestion patrimoniale et marchés globaux. Avec 8 600 collaborateurs et un chiffre d’affaires de 934 M€* en 2022, Artelia fait partie du top 15 des ingénieries européennes de la construction. Implanté dans 40 pays en Europe, en Afrique, au Moyen-Orient, en Asie Pacifique et en Amérique, le Groupe intervient dans plus de 100 pays à travers le monde.*CA 2022 cumulé Artelia &#43; FNX-INNOV "
BUREAU VERITAS EXPLOITATION,"Analyses, essais et inspections techniques",2023,Entre 2 000 et 4 999,6560.0,8,"En tant qu’entreprise de services « Business to Business to Society », nous établissons une relation de confiance entre entreprises, pouvoirs publics et consommateurs. Nous répondons, à travers cette mission, aux défis sociétaux et environnementaux majeurs de notre époque. Notre mission consiste à réduire les risques de nos clients, à améliorer leurs performances et à soutenir leurs efforts d&#039;innovation. Et ce, en tenant compte de leurs obligations normatives, en matière de qualité, de santé, de sécurité, de protection de l&#039;environnement ou encore de responsabilité sociale.En sus de nos services de vérification, d&#039;analyse, d&#039;inspection et de certification, nous fournissons également une assistance, tout au long de la durée de vie de leurs actifs, dans tous les secteurs d’activité.  Nos activités sont très largement réalisées chez nos clients ; la rédaction de nos livrables est réalisée dans nos locaux (88 implantations) ou en télétravail. Seules nos activités de laboratoire sont réalisées réellement dans nos locaux (4 laboratoires en France). https://www.bureauveritas.fr/"
ECOCERT SA,"Analyses, essais et inspections techniques",2024,778,1242.7,7,"Depuis plus de 30 ans, nous accompagnons de nombreux acteurs dans le déploiement et la valorisation de pratiques durables à travers la certification, le conseil et la formation. Engagé dès sa création pour l’agriculture biologique, Ecocert a aujourd&#039;hui étendu son action à de nombreuses filières dans le monde Notre mission : Agir pour un monde durable en accompagnant la transition vers des modèles économiques plus juste et qui préservent la santé, le climat et la biodiversité à travers :•Nos services•Notre organisation•Notre écosystème Notre vision : Etre un acteur reconnu de la transition des biens de consommation et des services. Nous nous engageons à agir en faveur de l’environnement et de la société, en cohérence avec nos convictions.Nos actions s’inscrivent dans une démarche d’amélioration continue et de long terme. Ecocert | Agir pour un monde durable."
Eco CO2,"Activités spécialisées, scientifiques et techniques diverses",2023,Entre 100 et 199,1447.7299999999998,8,"Eco CO2 accompagne les entreprises et les collectivités dans leurs pratiques environnementales, sociales et de gouvernance pour construire un nouveau modèle économique performant et responsable.Notre expertise en mobilité et transportAux côtés de l’ADEME et des organisations professionnelles du secteur, Eco CO2 aide les entreprises et les collectivités dans la réduction de leur impact environnemental, la transition vers la logistique durable, le report modal, et le développement des mobilités actives et partagées."
